p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,Sociabilidad,Asertividad / Liderazgo,Nivel de actividad,Búsqueda de emociones,Afecto positivo,Puntaje Total,Personalidad,Clasificacion,Cluster
2,5,5,3,3,1,5,1,1,4,1,1,1,1,2,2,3,2,4,5,1,5,3,3,3,2,5,3,3,3,5,1,4,5,2,3,4,5,5,3,2,2,3,3,5,36,39,32,24,15,135,Ambivertido,Ambivertido,1
5,2,1,5,5,1,4,3,3,3,4,1,3,4,3,1,5,4,1,3,3,5,4,2,4,2,1,5,1,2,4,1,2,4,2,1,1,4,2,3,3,1,2,3,3,34,37,31,16,14,126,Ambivertido,Ambivertido,2
3,4,2,4,2,4,4,2,1,1,5,5,5,2,2,3,2,4,5,4,1,4,4,2,1,1,5,2,5,3,5,2,2,1,1,1,3,1,1,4,2,5,4,1,3,31,33,40,21,15,128,Ambivertido,Ambivertido,1
5,4,3,1,1,4,1,3,2,3,2,1,2,3,1,5,4,2,1,2,2,1,4,3,2,3,3,3,3,2,4,4,4,3,4,3,5,3,5,4,2,1,1,4,4,36,30,31,27,10,127,Ambivertido,Ambivertido,2
4,4,3,2,5,5,1,1,2,4,5,2,1,1,2,3,2,5,3,3,3,5,2,2,1,5,2,2,5,3,2,1,2,1,1,3,3,3,1,3,4,3,2,2,2,27,30,34,23,18,121,Ambivertido,Ambivertido,1
2,4,4,3,4,5,3,4,2,4,3,1,1,1,5,3,4,1,4,5,3,2,5,2,3,5,5,3,3,3,3,3,1,4,3,1,5,5,3,4,4,4,5,5,1,40,39,28,35,17,148,Extrovertido,Extrovertido,0
5,5,3,3,5,5,1,4,3,1,4,2,1,1,5,5,5,5,2,1,5,1,1,1,3,3,4,5,4,5,5,3,3,2,5,3,2,3,5,3,4,1,5,4,1,48,31,31,29,18,147,Extrovertido,Extrovertido,0
2,3,4,4,5,4,2,2,1,1,4,4,3,1,5,2,3,1,2,1,1,4,1,5,3,3,1,5,1,5,4,2,3,2,1,5,5,4,2,1,4,1,5,3,4,27,29,35,32,13,129,Ambivertido,Ambivertido,1
3,4,2,2,2,4,1,3,1,1,1,1,5,1,1,4,5,2,2,1,4,1,2,2,3,4,4,3,4,3,4,1,4,5,4,1,1,5,3,5,2,2,2,2,5,39,27,36,17,11,122,Ambivertido,Ambivertido,2
1,4,1,1,4,3,3,2,1,3,1,2,3,3,4,2,5,3,4,1,1,5,3,4,1,3,3,3,2,4,3,1,3,1,1,2,3,5,3,2,1,3,3,2,4,31,31,30,20,12,117,Ambivertido,Ambivertido,2
2,3,1,1,4,1,1,3,3,3,3,1,3,1,1,3,2,4,5,5,1,4,1,2,1,2,1,2,3,1,1,3,5,1,2,2,1,1,4,3,1,3,1,4,3,28,20,31,17,16,103,Ambivertido,Ambivertido,2
3,2,1,3,3,5,1,5,2,4,3,5,2,1,5,1,5,2,4,4,4,4,3,5,2,4,1,3,2,1,5,5,1,4,4,1,1,5,3,1,2,1,5,3,4,45,31,30,24,12,135,Ambivertido,Ambivertido,2
2,5,1,3,2,5,5,5,5,4,3,1,1,4,1,5,3,5,5,2,4,2,4,1,2,1,1,5,2,5,2,2,5,5,5,5,4,3,3,3,4,4,5,5,1,44,40,30,29,16,150,Extrovertido,Extrovertido,0
4,4,1,4,5,4,3,1,3,4,1,3,3,5,3,5,3,4,4,2,3,3,5,1,1,1,1,2,4,2,4,2,3,3,3,2,1,3,2,2,5,5,3,2,1,32,39,30,21,16,130,Ambivertido,Ambivertido,1
2,5,2,4,1,3,4,3,3,4,1,2,4,1,5,3,3,2,1,2,3,4,4,1,2,4,2,1,4,5,1,5,2,5,1,2,5,5,3,5,5,5,3,2,4,29,36,38,31,15,138,Extrovertido,Extrovertido,1
1,4,1,5,1,5,3,1,5,2,3,5,2,4,1,5,1,5,5,3,5,1,5,3,3,2,4,3,3,1,1,5,1,4,5,2,1,4,5,2,4,5,5,2,1,44,33,31,25,13,139,Extrovertido,Extrovertido,2
2,3,2,5,3,4,5,1,1,5,4,1,3,2,3,5,2,1,3,4,3,4,2,5,5,2,5,4,2,4,2,4,4,4,2,3,2,4,5,5,1,4,3,3,4,36,35,40,30,14,145,Extrovertido,Extrovertido,1
2,1,5,4,1,3,2,3,1,4,3,3,2,2,5,1,2,4,2,3,1,2,3,5,5,3,4,1,2,1,2,5,5,1,1,4,2,2,1,1,2,2,3,1,3,29,24,28,32,8,115,Ambivertido,Ambivertido,2
4,4,2,3,5,3,4,3,5,4,2,3,2,2,1,4,3,2,3,2,5,3,5,4,4,1,3,4,1,3,5,3,5,3,1,4,4,4,2,3,5,4,2,1,2,35,39,32,26,16,142,Extrovertido,Extrovertido,1
3,1,5,3,1,4,2,5,3,3,2,5,2,2,2,4,5,4,2,3,1,2,3,2,5,5,3,5,5,2,4,2,4,2,1,2,3,1,1,4,2,2,1,5,2,30,32,34,30,14,130,Ambivertido,Ambivertido,1
4,3,5,1,1,3,2,5,2,5,1,4,1,1,2,3,1,4,2,2,5,1,4,1,2,2,4,4,4,3,2,1,2,5,5,2,4,2,3,4,2,2,3,2,2,42,31,24,23,12,123,Ambivertido,Ambivertido,2
4,4,2,1,5,1,1,1,4,1,4,1,4,1,2,4,2,2,1,5,5,2,4,1,2,5,5,5,2,4,5,3,2,3,1,4,2,2,1,2,1,4,3,2,4,29,31,33,22,20,124,Ambivertido,Ambivertido,1
3,2,1,3,1,2,5,5,4,3,1,3,4,2,2,5,5,1,1,3,1,3,3,1,3,2,3,3,4,4,4,1,4,2,1,2,2,3,1,1,4,1,1,5,3,25,38,31,19,16,118,Ambivertido,Ambivertido,1
4,3,5,5,4,5,5,2,3,4,4,4,1,2,3,4,2,5,3,2,3,2,4,3,3,1,5,3,4,5,5,5,3,4,5,5,2,4,5,5,1,1,4,5,3,45,39,35,34,18,160,Extrovertido,Extrovertido,0
4,5,5,3,2,1,3,2,3,5,3,2,3,5,5,1,2,4,4,3,5,3,4,2,3,3,3,3,3,3,3,2,3,4,5,1,2,3,1,4,2,5,2,3,1,38,37,31,27,14,138,Extrovertido,Extrovertido,0
1,2,3,3,3,3,1,4,4,1,2,5,1,1,4,1,5,3,3,5,3,3,3,1,4,1,4,5,5,2,3,4,3,3,2,3,2,2,4,3,4,5,4,5,3,37,32,27,33,19,136,Extrovertido,Extrovertido,0
2,2,3,2,4,1,1,4,5,4,4,1,2,1,5,4,2,1,5,1,4,5,1,1,4,2,4,1,3,5,2,1,3,2,1,4,1,3,1,3,3,5,2,4,4,29,25,32,28,18,123,Ambivertido,Ambivertido,1
5,1,2,1,4,1,4,3,2,3,3,3,2,2,2,1,2,4,1,3,4,1,2,5,5,3,4,4,1,1,2,3,2,5,2,1,3,1,1,4,1,3,3,2,1,39,24,22,22,11,113,Ambivertido,Ambivertido,2
3,2,4,3,3,5,2,5,5,2,5,2,1,1,5,3,5,3,4,1,3,4,3,3,2,5,3,1,3,4,3,3,4,2,5,4,3,2,1,2,3,3,2,4,5,39,25,36,33,16,141,Extrovertido,Extrovertido,1
4,4,3,3,1,3,1,5,2,5,3,1,5,2,2,3,1,1,4,1,2,5,2,3,3,4,3,3,3,1,2,1,1,3,5,3,3,1,4,3,4,1,2,2,2,37,25,34,21,8,120,Ambivertido,Ambivertido,2
2,1,3,4,3,1,2,4,5,1,5,4,3,2,2,3,4,4,2,3,2,2,1,3,5,1,5,1,4,3,4,5,5,1,5,4,2,2,4,1,5,4,3,5,5,39,28,34,31,18,140,Extrovertido,Extrovertido,1
4,2,5,1,2,1,1,3,2,1,4,2,2,4,5,5,4,1,3,4,3,3,2,4,2,2,2,1,3,1,3,2,5,3,5,1,4,1,5,2,2,3,1,1,1,38,23,29,24,12,118,Ambivertido,Ambivertido,2
2,4,4,1,3,3,2,5,4,1,4,2,1,1,5,2,4,2,2,4,5,3,5,2,5,3,2,2,4,4,5,1,5,2,2,5,2,3,4,4,3,2,1,5,4,33,34,33,32,19,139,Extrovertido,Extrovertido,1
5,1,1,3,1,5,4,4,1,3,3,2,2,4,1,2,1,4,2,2,4,1,5,3,1,1,3,1,1,2,4,5,3,2,1,4,2,2,3,1,2,5,3,4,4,35,30,23,28,7,118,Ambivertido,Ambivertido,2
5,3,2,3,3,5,1,2,5,5,5,5,3,3,4,2,1,1,4,4,1,5,5,2,5,3,3,3,3,3,1,5,5,2,5,2,3,4,3,1,5,1,2,3,3,31,37,38,30,18,144,Extrovertido,Extrovertido,1
5,4,4,2,1,4,2,4,4,1,5,3,5,2,5,1,5,1,1,4,2,4,4,1,2,3,3,2,3,4,4,1,3,1,1,3,4,3,4,5,2,2,5,5,3,33,31,38,30,16,137,Extrovertido,Extrovertido,1
4,5,5,3,4,5,3,3,4,5,2,3,3,2,1,4,5,1,5,2,4,4,1,2,4,2,4,2,4,1,4,2,2,2,1,5,2,4,4,5,5,2,3,1,5,38,33,38,27,15,144,Extrovertido,Extrovertido,1
