Ciudad,Region,Hipertension,Diabetes,Cancer,Rinon,Sida
cancún,sur,88,431,114,284,381
ciudad de méxico,bajío,407,293,292,309,208
chihuahua,norte,348,80,459,252,343
xalapa,bajío,124,384,272,174,127
cuernavaca,sur,41,399,126,496,95
monterrey,sureste,434,271,42,235,104
chihuahua,bajío,426,280,45,265,325
tapachula,centro,428,371,7,282,133
san cristóbal de las casas,norte,187,427,409,345,28
coacalco,norte,14,89,220,5,224
reynosa,centro,129,318,152,269,5
saltillo,bajío,439,433,3,375,192
irapuato,bajío,339,176,390,229,345
campeche,bajío,442,257,349,292,296
chihuahua,norte,41,441,413,42,310
tehuacán,centro,495,127,435,93,53
reynosa,sureste,55,123,126,301,86
nogales,centro,396,431,368,189,23
tapachula,centro,123,182,205,463,292
querétaro,sureste,415,22,90,435,440
toluca,centro,310,263,467,420,172
toluca,norte,51,70,497,278,497
acapulco,occidente,337,288,88,309,299
acapulco,occidente,245,113,384,30,359
puebla,norte,71,257,159,32,45
ciudad victoria,sur,262,447,41,401,245
oaxaca,occidente,368,154,484,472,2
tampico,norte,389,100,314,181,62
torreón,bajío,57,229,218,247,284
coatzacoalcos,occidente,37,162,416,225,18
villahermosa,bajío,273,76,90,500,253
campeche,norte,255,224,180,429,399
chihuahua,sureste,365,212,492,268,150
oaxaca,sur,471,230,81,397,314
morelia,occidente,21,282,485,222,83
coacalco,sureste,500,19,139,49,339
campeche,sur,397,171,124,225,264
matamoros,sureste,223,274,10,65,100
cancún,occidente,153,43,236,111,185
cuernavaca,bajío,230,2,240,98,58
león,centro,126,200,207,378,69
tampico,sureste,46,209,495,93,162
durango,occidente,425,26,161,490,427
atlixco,sur,340,484,40,431,465
chihuahua,sur,229,11,474,45,164
poza rica,occidente,300,375,147,160,413
culiacán,norte,117,330,38,134,489
san luis potosí,sur,277,349,302,415,491
león,sur,0,135,153,369,252
toluca,centro,40,145,28,106,370
los mochis,bajío,494,408,243,193,256
chetumal,norte,12,310,75,316,354
colima,occidente,452,241,238,87,240
león,sur,386,282,55,44,99
guadalajara,sur,143,496,22,372,210
querétaro,sur,194,198,245,17,56
xalapa,centro,228,55,247,76,444
ensenada,sur,293,204,109,214,66
tehuacán,sureste,267,357,417,136,74
matamoros,occidente,262,323,350,421,380
manzanillo,norte,143,381,128,114,400
irapuato,sureste,62,3,369,260,487
chihuahua,sur,392,66,127,223,21
cuernavaca,centro,120,297,494,367,314
monterrey,bajío,121,32,474,252,392
tijuana,occidente,472,310,425,207,86
piedras negras,occidente,225,204,236,418,261
playa del carmen,sureste,155,498,432,65,357
campeche,bajío,235,389,319,258,24
veracruz,centro,258,256,290,237,79
tampico,centro,376,427,332,441,494
piedras negras,norte,124,221,288,61,58
tijuana,sur,245,333,286,430,130
puebla,centro,87,482,404,30,324
ciudad obregón,centro,216,419,311,4,481
oaxaca,norte,187,410,340,244,477
guadalajara,norte,167,208,264,353,348
celaya,sur,435,336,19,241,411
coatzacoalcos,sureste,243,286,196,405,212
tijuana,centro,439,285,386,396,150
tapachula,occidente,62,295,165,131,455
mazatlán,centro,23,48,23,412,404
mazatlán,sureste,452,283,67,1,89
acapulco,occidente,88,273,139,457,376
saltillo,occidente,361,65,274,380,470
manzanillo,occidente,180,390,38,281,95
torreón,centro,417,42,204,351,59
chilpancingo,bajío,448,151,385,66,88
zacatecas,sureste,239,301,118,469,85
chihuahua,sureste,410,253,369,2,103
manzanillo,sureste,469,403,182,115,20
san cristóbal de las casas,bajío,438,125,486,346,207
chilpancingo,occidente,273,498,151,180,268
nogales,centro,255,461,125,221,386
acapulco,sureste,300,137,13,79,449
mazatlán,centro,130,339,0,118,458
tepic,occidente,86,230,413,203,449
matamoros,occidente,160,145,157,252,73
tapachula,centro,463,354,40,151,384
querétaro,norte,341,387,361,334,154
piedras negras,bajío,423,364,99,123,311
oaxaca,centro,258,144,278,146,426
los mochis,bajío,219,378,79,269,134
tijuana,sureste,183,268,195,333,466
coacalco,centro,192,458,63,494,410
pachuca,bajío,459,36,299,249,60
pachuca,sur,45,107,192,34,498
acapulco,occidente,194,354,188,117,147
cancún,sur,332,301,218,49,486
nogales,occidente,103,184,79,490,416
cuernavaca,sur,394,195,164,45,95
piedras negras,bajío,9,305,107,127,49
tehuacán,sur,307,440,4,346,487
playa del carmen,sureste,281,30,286,339,151
coatzacoalcos,occidente,252,225,263,311,366
tuxpan,occidente,322,320,330,253,87
san cristóbal de las casas,occidente,110,173,440,395,494
huatusco,sureste,434,203,296,297,464
atlixco,sur,205,337,214,349,444
nogales,bajío,83,461,283,440,8
san cristóbal de las casas,centro,340,29,490,172,197
uruapan,sur,68,79,279,49,84
puebla,occidente,104,185,223,301,392
la paz,sureste,364,63,30,137,488
tehuacán,sur,6,314,327,426,281
ciudad de méxico,bajío,176,23,322,46,49
coacalco,bajío,368,340,428,424,162
toluca,sureste,97,388,421,467,12
querétaro,sur,315,7,34,42,414
nogales,sur,189,433,9,49,278
ciudad obregón,bajío,57,74,339,397,444
monterrey,sureste,412,246,217,457,424
león,sur,153,145,86,450,465
campeche,centro,204,347,451,22,174
tepic,centro,421,375,363,384,127
villahermosa,norte,436,395,430,123,31
atlixco,sur,338,138,211,44,388
chihuahua,norte,447,53,302,28,421
torreón,sur,69,158,387,49,262
toluca,centro,487,430,187,114,72
ciudad obregón,sur,82,260,110,75,332
chilpancingo,occidente,266,82,368,37,255
